City_code,City,Province,Number
,missing postcode and abroad,missing postcode and abroad,99
518,'s-Gravenhage,Zuid-Holland,103
796,'s-Hertogenbosch,Noord-Brabant,87
1680,Aa en Hunze,Drenthe,3
358,Aalsmeer,Noord-Holland,11
197,Aalten,Gelderland,2
59,Achtkarspelen,Friesland,1
482,Alblasserdam,Zuid-Holland,6
613,Albrandswaard,Zuid-Holland,19
361,Alkmaar,Noord-Holland,29
141,Almelo,Overijssel,12
34,Almere,Flevoland,32
484,Alphen aan den Rijn,Zuid-Holland,30
1723,Alphen-Chaam,Noord-Brabant,19
1959,Altena,Noord-Brabant,35
60,Ameland,Friesland,0
307,Amersfoort,Utrecht,54
362,Amstelveen,Noord-Holland,46
363,Amsterdam,Noord-Holland,351
200,Apeldoorn,Gelderland,39
3,Appingedam,Groningen,0
202,Arnhem,Gelderland,34
106,Assen,Drenthe,7
743,Asten,Noord-Brabant,6
744,Baarle-Nassau,Noord-Brabant,2
308,Baarn,Utrecht,5
489,Barendrecht,Zuid-Holland,19
203,Barneveld,Gelderland,13
888,Beek,Limburg,13
1954,Beekdaelen,Limburg,32
370,Beemster,Noord-Holland,2
889,Beesel,Limburg,8
1945,Berg en Dal,Gelderland,43
1724,Bergeijk,Noord-Brabant,11
893,Bergen (L),Limburg,1
373,Bergen (NH),Noord-Holland,14
748,Bergen op Zoom,Noord-Brabant,13
1859,Berkelland,Gelderland,2
1721,Bernheze,Noord-Brabant,83
753,Best,Noord-Brabant,21
209,Beuningen,Gelderland,15
375,Beverwijk,Noord-Holland,12
1728,Bladel,Noord-Brabant,15
376,Blaricum,Noord-Holland,6
377,Bloemendaal,Noord-Holland,16
1901,Bodegraven-Reeuwijk,Zuid-Holland,8
755,Boekel,Noord-Brabant,42
1681,Borger-Odoorn,Drenthe,0
147,Borne,Overijssel,12
654,Borsele,Zeeland,6
756,Boxmeer,Noord-Brabant,10
757,Boxtel,Noord-Brabant,19
758,Breda,Noord-Brabant,201
501,Brielle,Zuid-Holland,2
1876,Bronckhorst,Gelderland,8
213,Brummen,Gelderland,4
899,Brunssum,Limburg,22
312,Bunnik,Utrecht,9
313,Bunschoten,Utrecht,3
214,Buren,Gelderland,7
502,Capelle aan den IJssel,Zuid-Holland,26
383,Castricum,Noord-Holland,13
109,Coevorden,Drenthe,17
1706,Cranendonck,Noord-Brabant,31
1684,Cuijk,Noord-Brabant,8
216,Culemborg,Gelderland,14
148,Dalfsen,Overijssel,13
1891,Dantumadiel,Friesland,1
310,De Bilt,Utrecht,34
1940,De Fryske Marren,Friesland,12
736,De Ronde Venen,Utrecht,13
1690,De Wolden,Drenthe,3
503,Delft,Zuid-Holland,25
10,Delfzijl,Groningen,2
400,Den Helder,Noord-Holland,6
762,Deurne,Noord-Brabant,35
150,Deventer,Overijssel,30
384,Diemen,Noord-Holland,6
1774,Dinkelland,Overijssel,25
221,Doesburg,Gelderland,5
222,Doetinchem,Gelderland,17
766,Dongen,Noord-Brabant,6
505,Dordrecht,Zuid-Holland,28
498,Drechterland,Noord-Holland,4
1719,Drimmelen,Noord-Brabant,21
303,Dronten,Flevoland,11
225,Druten,Gelderland,7
226,Duiven,Gelderland,3
1711,Echt-Susteren,Limburg,23
385,Edam-Volendam,Noord-Holland,10
228,Ede,Gelderland,33
317,Eemnes,Utrecht,1
770,Eersel,Noord-Brabant,14
1903,Eijsden-Margraten,Limburg,26
772,Eindhoven,Noord-Brabant,93
230,Elburg,Gelderland,6
114,Emmen,Drenthe,8
388,Enkhuizen,Noord-Holland,15
153,Enschede,Overijssel,34
232,Epe,Gelderland,16
233,Ermelo,Gelderland,17
777,Etten-Leur,Noord-Brabant,37
779,Geertruidenberg,Noord-Brabant,11
1771,Geldrop-Mierlo,Noord-Brabant,16
1652,Gemert-Bakel,Noord-Brabant,71
907,Gennep,Limburg,8
784,Gilze en Rijen,Noord-Brabant,19
1924,Goeree-Overflakkee,Zuid-Holland,56
664,Goes,Zeeland,7
785,Goirle,Noord-Brabant,21
1942,Gooise Meren,Noord-Holland,20
512,Gorinchem,Zuid-Holland,9
513,Gouda,Zuid-Holland,25
786,Grave,Noord-Brabant,14
14,Groningen,Groningen,76
1729,Gulpen-Wittem,Limburg,5
158,Haaksbergen,Overijssel,4
788,Haaren,Noord-Brabant,14
392,Haarlem,Noord-Holland,54
394,Haarlemmermeer,Noord-Holland,30
1655,Halderberge,Noord-Brabant,8
