Province,20200227,20200228,20200229,20200301,20200302,20200303,20200304,20200305,20200306,20200307,20200308,20200309,20200310,20200311,20200312,20200313,20200314,20200315,20200316,20200317,20200318,20200319,20200320,20200321,20200322,20200323,20200324,20200325,20200326,20200327,20200328,20200329,20200330,20200331,20200401,20200402,20200403,20200404,20200405,20200406
Drenthe,0.0,0.0,0.0,1.0,1.0,2.0,2.0,3.0,3.0,3.0,8.0,10.0,12.0,12.0,13.0,13.0,15.0,15.0,16.0,17,22,25,32,38,41,48,54,59,70,78,96,111,115,38,43,44,49,56,56,60
Flevoland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,7.0,14.0,19.0,22.0,24,30,36,41,50,57,64,71,82,92,105,117,134,141,98,106,124,135,145,152,154
Friesland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,6.0,7.0,8.0,10.0,13.0,14,18,20,22,33,34,39,41,51,68,81,96,118,123,64,72,77,84,88,92,95
Gelderland,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,10.0,13.0,26.0,27.0,30.0,36.0,48.0,64.0,76.0,100.0,135.0,173,210,240,303,362,421,502,576,675,797,926,1058,1235,1337,533,607,647,691,720,754,788
Groningen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,4.0,9.0,10.0,10,15,29,33,46,56,67,67,80,109,120,133,140,146,40,43,45,46,48,51,51
Limburg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0,11.0,16.0,23.0,32.0,48.0,53.0,67.0,104.0,129.0,149.0,197,258,291,357,408,437,479,670,765,858,943,1073,1168,1281,525,559,828,911,946,1001,1060
Noord-Brabant,1.0,1.0,3.0,5.0,8.0,12.0,17.0,24.0,34.0,57.0,93.0,135.0,157.0,218.0,266.0,360.0,403.0,446.0,554.0,634,728,842,971,1139,1358,1508,1685,1861,2100,2426,2678,2950,3162,1321,1441,1540,1675,1732,1759,1772
Noord-Holland,0.0,1.0,3.0,3.0,3.0,4.0,7.0,9.0,10.0,17.0,22.0,23.0,30.0,35.0,42.0,63.0,83.0,90.0,115.0,151,173,244,327,429,499,560,696,825,982,1175,1335,1484,1629,687,746,788,866,941,969,995
Overijssel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,9.0,10.0,10.0,12.0,13.0,18.0,23.0,28.0,36.0,45,58,73,98,161,187,216,247,316,385,443,511,583,640,251,277,309,322,344,355,368
Utrecht,0.0,0.0,0.0,0.0,3.0,3.0,3.0,23.0,33.0,47.0,52.0,52.0,55.0,67.0,80.0,83.0,87.0,109.0,140.0,173,197,237,267,313,344,401,458,547,628,716,797,880,952,309,326,363,411,434,470,506
Zeeland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,6.0,9.0,9.0,10.0,12.0,17.0,20,26,31,36,46,48,54,62,76,90,108,119,133,147,76,86,90,94,99,99,104
Zuid-Holland,0.0,0.0,1.0,2.0,3.0,3.0,7.0,12.0,23.0,29.0,34.0,37.0,47.0,57.0,65.0,81.0,95.0,110.0,136.0,175,232,303,395,469,567,627,733,862,1015,1217,1470,1625,1767,701,782,852,922,984,1032,1095
SUM,1.0,2.0,7.0,11.0,18.0,24.0,37.0,77.0,126.0,184.0,263.0,320.0,380.0,497.0,614.0,789.0,935.0,1090.0,1356.0,1732,2066,2470,2981,3593,4148,4664,5459,6298,7293,8437,9582,10660,11539,4643,5088,5707,6206,6537,6790,7048
